"MetabolismID","OmimID"
"PHE_HMDB0000197","606788 ,209850 ,608516 ,114500 ,610247 ,276100 "
"PHE_HMDB0000205","261600 ,109720 "
"PHE_HMDB0000238","182125 "
"PHE_HMDB0000407","248600 ,114500 ,610247 ,246900 "
"PHE_HMDB0000440","114500 ,261600 ,610247 "
"PHE_HMDB0000468","128230 ,182125 ,168600 ,276880 ,261640 ,264070 "
"PHE_HMDB0000512","114500 "
"PHE_HMDB0000563","114500 "
"PHE_HMDB0000594","114500 ,261600 "
"PHE_HMDB0000669","261600 ,610247 "
"PHE_HMDB0000703","114500 ,261600 ,610247 "
"PHE_HMDB0000707","114500 ,261600 ,140350 ,220500 "
"PHE_HMDB0000748","261600 ,114500 "
"PHE_HMDB0000755","114500 ,261600 ,610247 "
"PHE_HMDB0000779","114500 ,261600 "
"PHE_HMDB0002432","114500 ,610247 "
"PRO_HMDB0000031","181500 "
"PRO_HMDB0000085","114500 ,164050 "
"PRO_HMDB0000125","271900 ,181500 ,231950 ,126200 "
"PRO_HMDB0000145","613546 ,308100 "
"PRO_HMDB0000151","201810 ,613546 ,202110 ,308100 ,201710 ,600955 "
"PRO_HMDB0000174","114500 ,610247 "
"PRO_HMDB0000197","606788 ,209850 ,608516 ,114500 ,610247 ,276100 "
"PRO_HMDB0000212","114500 "
"PRO_HMDB0000239","617290 ,266600 ,114500 ,610247 "
"PRO_HMDB0000268","201710 "
"PRO_HMDB0000381","210500 "
"PRO_HMDB0000493","181500 "
"PRO_HMDB0000510","245130 ,266600 ,114500 ,610247 ,181500 "
"PRO_HMDB0000599","125853 ,126200 ,168600 "
"PRO_HMDB0000606","600721 ,615182 ,271550 "
"PRO_HMDB0000608","104300 ,126200 ,168600 "
"PRO_HMDB0000626","219700 ,114500 ,109720 "
"PRO_HMDB0000635","276700 ,276700 ,610247 "
"PRO_HMDB0000663","610247 "
"PRO_HMDB0000694","236792 ,615182 ,610247 ,600721 "
"PRO_HMDB0000753","212750 ,209850 "
"PRO_HMDB0000761","219700 ,210500 ,114500 ,109720 "
"PRO_HMDB0000782","114500 "
"PRO_HMDB0000788","258900 "
"PRO_HMDB0000797","103050 ,608688 ,606812 "
"PRO_HMDB0000807","104300 ,600274 "
